INFO 2025-08-04 19:38:59,010 basehttp 3876 38180 "GET /admin/account/emailaddress/add/ HTTP/1.1" 200 25402
INFO 2025-08-04 19:38:59,050 basehttp 3876 38180 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,061 basehttp 3876 38180 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,067 basehttp 3876 768 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,093 basehttp 3876 768 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,095 basehttp 3876 47300 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,099 basehttp 3876 47404 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,100 basehttp 3876 43872 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,109 basehttp 3876 768 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,119 basehttp 3876 44384 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,128 basehttp 3876 47300 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,131 basehttp 3876 47404 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,131 basehttp 3876 43872 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,173 basehttp 3876 47404 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,180 basehttp 3876 47404 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:59,216 basehttp 3876 38180 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:38:59,242 basehttp 3876 38180 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:39:17,010 basehttp 3876 42580 "POST /admin/account/emailaddress/add/ HTTP/1.1" 200 25637
INFO 2025-08-04 19:39:17,069 basehttp 3876 42580 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-08-04 19:39:17,084 basehttp 3876 4312 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-08-04 19:39:17,123 basehttp 3876 4312 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-08-04 19:39:17,138 basehttp 3876 4312 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-08-04 19:39:17,161 basehttp 3876 46180 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:39:17,187 basehttp 3876 46180 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:39:28,652 basehttp 3876 47556 "POST /admin/account/emailaddress/add/ HTTP/1.1" 200 25621
INFO 2025-08-04 19:39:28,758 basehttp 3876 47556 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:39:47,213 basehttp 3876 5972 "GET /admin/account/ HTTP/1.1" 200 14555
INFO 2025-08-04 19:39:47,268 basehttp 3876 11552 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2025-08-04 19:39:47,268 basehttp 3876 5972 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2025-08-04 19:39:47,271 basehttp 3876 44340 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-08-04 19:39:47,300 basehttp 3876 44340 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2025-08-04 19:39:50,140 basehttp 3876 44340 "GET /admin/ HTTP/1.1" 200 23904
INFO 2025-08-04 19:40:04,765 basehttp 3876 8356 "GET /admin/accounts/ HTTP/1.1" 200 15914
INFO 2025-08-04 19:46:47,145 basehttp 3876 4312 "GET /admin/ HTTP/1.1" 200 23904
INFO 2025-08-04 19:46:47,198 basehttp 3876 4312 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,212 basehttp 3876 4312 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,217 basehttp 3876 13760 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,221 basehttp 3876 8592 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,226 basehttp 3876 14356 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,228 basehttp 3876 3612 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,230 basehttp 3876 14332 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,235 basehttp 3876 3612 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,238 basehttp 3876 14332 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,239 basehttp 3876 14356 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,261 basehttp 3876 14332 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,266 basehttp 3876 14356 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,268 basehttp 3876 3612 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:46:47,274 basehttp 3876 3612 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2025-08-04 19:48:37,480 autoreload 48180 48184 Watching for file changes with StatReloader
INFO 2025-08-04 19:50:37,493 autoreload 48180 48184 C:\Users\HP\Dev\Mikrobot Fastversion\mikrobot_platform\admin_config\admin.py changed, reloading.
INFO 2025-08-04 19:50:40,771 autoreload 49860 49864 Watching for file changes with StatReloader
INFO 2025-08-04 19:53:07,706 autoreload 49860 49864 C:\Users\HP\Dev\Mikrobot Fastversion\mikrobot_platform\config\mikrobot_config.py changed, reloading.
INFO 2025-08-04 19:53:09,701 autoreload 52080 50796 Watching for file changes with StatReloader
INFO 2025-08-04 20:03:27,059 basehttp 3876 53472 code 400, message Bad request version ('\x0exÎÇãD=è\x9380?^Ü]üDj¨¥\x9b(\x05±\xadÙ\x06]\x9aÄ')
ERROR 2025-08-04 20:03:27,113 basehttp 3876 53472 You're accessing the development server over HTTPS, but it only supports HTTP.
INFO 2025-08-04 20:03:27,140 basehttp 3876 54484 code 400, message Bad request version ('\x00\x12\x00\x10\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x00')
